Month,token: (Worldwide)
2010-06,0
2010-07,0
2010-08,100
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,75
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,78
2012-11,0
2012-12,42
2013-01,0
2013-02,38
2013-03,44
2013-04,0
2013-05,0
2013-06,33
2013-07,0
2013-08,0
2013-09,0
2013-10,43
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,45
2014-07,0
2014-08,0
2014-09,15
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,22
2015-05,15
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,13
2016-01,0
2016-02,0
2016-03,11
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,12
2016-10,0
2016-11,39
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,25
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,25
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,37
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,30
2019-12,0
2020-01,0
2020-02,0
2020-03,45
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,44
2020-09,23
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,32
2021-06,0
2021-07,0
2021-08,0
2021-09,32
2021-10,60
2021-11,42
2021-12,0
2022-01,0
2022-02,31
2022-03,0
2022-04,91
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,26
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,20
2023-03,0
2023-04,0
2023-05,0
2023-06,0
