Month,satoshi nakamoto: (Worldwide)
2010-06,100
2010-07,0
2010-08,37
2010-09,52
2010-10,0
2010-11,0
2010-12,83
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,19
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,33
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,14
2014-08,0
2014-09,0
2014-10,0
2014-11,13
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,13
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,12
2016-04,0
2016-05,0
2016-06,0
2016-07,8
2016-08,0
2016-09,16
2016-10,0
2016-11,0
2016-12,8
2017-01,0
2017-02,0
2017-03,0
2017-04,19
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,13
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,65
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,28
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,14
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,10
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,19
2022-02,39
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
